away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,losing_Team,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Tommy Henry,N,,Top,,Salt River Fields at Talking Stick,2022-03-17T20:10:00Z,109,2022-03-17,4249,9,Final,Arizona Diamondbacks,Ty Blach,Brandon Gold,2022-03-17 - Arizona Diamondbacks (3) @ Colorado Rockies (5) (Final),S,3,Colorado Rockies,706975,Colorado Rockies,5,1,Heath Holder,115,Arizona Diamondbacks,COL leads 1-0,Tommy Henry,[]
,Zach Neal,N,,Bottom,,Salt River Fields at Talking Stick,2022-03-18T20:10:00Z,115,2022-03-18,4249,9,Final,Colorado Rockies,Kyle Nelson,Logan Cozart,2022-03-18 - Colorado Rockies (5) @ Arizona Diamondbacks (3) (Final),S,5,Arizona Diamondbacks,707051,Colorado Rockies,3,1,Nick Kennedy,109,Arizona Diamondbacks,COL wins 2-0,Jesus Liranzo,['MLB.tv Free Game']
,Dan Straily,N,,Top,,Tempe Diablo Stadium,2022-03-19T20:10:00Z,109,2022-03-19,2500,9,Final,Arizona Diamondbacks,Daniel Ponce de Leon,Daniel Ponce de Leon,2022-03-19 - Arizona Diamondbacks (5) @ Los Angeles Angels (12) (Final),S,5,Los Angeles Angels,706942,Los Angeles Angels,12,1,,108,Arizona Diamondbacks,LAA wins Spring,Dan Straily,"['MLBN', 'MLB.tv Free Game']"
,Brandon Pfaadt,N,,Bottom,,Surprise Stadium,2022-03-20T20:05:00Z,109,2022-03-20,2603,9,Final,Arizona Diamondbacks,Jackson Kowar,Jace Vines,2022-03-20 - Arizona Diamondbacks (10) @ Kansas City Royals (11) (Final),S,10,Kansas City Royals,706950,Kansas City Royals,11,1,,118,Arizona Diamondbacks,KC wins Spring,Blake Workman,['MLB.tv Free Game']
,George Kirby,N,,Top,,Salt River Fields at Talking Stick,2022-03-21T20:10:00Z,136,2022-03-21,4249,9,Final,Seattle Mariners,Humberto Castellanos,Humberto Castellanos,2022-03-21 - Seattle Mariners (1) @ Arizona Diamondbacks (9) (Final),S,1,Arizona Diamondbacks,707050,Arizona Diamondbacks,9,1,,109,Seattle Mariners,AZ wins Spring,George Kirby,[]
,Kolby Allard,N,,Bottom,,Salt River Fields at Talking Stick,2022-03-22T20:10:00Z,140,2022-03-22,4249,9,Final,Texas Rangers,Madison Bumgarner,Kolby Allard,2022-03-22 - Texas Rangers (4) @ Arizona Diamondbacks (1) (Final),S,4,Arizona Diamondbacks,707049,Texas Rangers,1,1,Ricky Vanasco,109,Arizona Diamondbacks,TEX wins Spring,Madison Bumgarner,[]
,Merrill Kelly,N,,Bottom,,Scottsdale Stadium,2022-03-23T20:05:00Z,109,2022-03-23,2532,9,Final,Arizona Diamondbacks,Logan Webb,Corbin Martin,2022-03-23 - Arizona Diamondbacks (5) @ San Francisco Giants (3) (Final),S,5,San Francisco Giants,706847,Arizona Diamondbacks,3,1,Joe Mantiply,137,San Francisco Giants,AZ wins Spring,Dominic Leone,[]
,Taylor Widener,N,,Bottom,,American Family Fields of Phoenix,2022-03-24T20:10:00Z,109,2022-03-24,2518,9,Final,Arizona Diamondbacks,Brandon Woodruff,Taylor Widener,2022-03-24 - Arizona Diamondbacks (10) @ Milwaukee Brewers (3) (Final),S,10,Milwaukee Brewers,706912,Arizona Diamondbacks,3,1,,158,Milwaukee Brewers,AZ wins Spring,Brandon Woodruff,['MLB.tv Free Game']
,Janson Junk,N,,Top,Tie,Salt River Fields at Talking Stick,2022-03-25T20:10:00Z,108,2022-03-25,4249,9,Final,Los Angeles Angels,Luke Weaver,,2022-03-25 - Los Angeles Angels (5) @ Arizona Diamondbacks (5) (Final),S,5,Arizona Diamondbacks,707048,Tie,5,1,,109,,,,[]
,Tyler Gilbert,N,,Top,,Surprise Stadium,2022-03-27T20:05:00Z,109,2022-03-27,2603,9,Final,Arizona Diamondbacks,A.J. Alexy,A.J. Alexy,2022-03-27 - Arizona Diamondbacks (0) @ Texas Rangers (13) (Final),S,0,Texas Rangers,706808,Texas Rangers,13,1,,140,Arizona Diamondbacks,TEX wins Spring,Tyler Gilbert,[]
,Ryan Rolison,N,,Top,,Salt River Fields at Talking Stick,2022-03-27T20:10:00Z,115,2022-03-27,4249,9,Final,Colorado Rockies,Madison Bumgarner,Mitchell Stumpo,2022-03-27 - Colorado Rockies (2) @ Arizona Diamondbacks (5) (Final),S,2,Arizona Diamondbacks,707117,Arizona Diamondbacks,5,1,Tommy Henry,109,Colorado Rockies,AZ wins Spring,Ryan Rolison,[]
,Clayton Kershaw,N,,Top,,Salt River Fields at Talking Stick,2022-03-28T20:10:00Z,119,2022-03-28,4249,9,Final,Los Angeles Dodgers,Corbin Martin,J.B. Wendelken,2022-03-28 - Los Angeles Dodgers (3) @ Arizona Diamondbacks (5) (Final),S,3,Arizona Diamondbacks,707045,Arizona Diamondbacks,5,1,Drey Jameson,109,Los Angeles Dodgers,AZ wins Spring,Guillermo Zuniga,[]
,Zach Davies,N,,Top,,Sloan Park,2022-03-29T20:05:00Z,109,2022-03-29,4629,9,Final,Arizona Diamondbacks,Justin Steele,Justin Steele,2022-03-29 - Arizona Diamondbacks (2) @ Chicago Cubs (3) (Final),S,2,Chicago Cubs,707005,Chicago Cubs,3,1,Cayne Ueckert,112,Arizona Diamondbacks,CHC wins Spring,Zach Davies,[]
,Zac Gallen,N,,Bottom,,Salt River Fields at Talking Stick,2022-03-30T20:10:00Z,109,2022-03-30,4249,9,Final,Arizona Diamondbacks,German Marquez,Caleb Smith,2022-03-30 - Arizona Diamondbacks (9) @ Colorado Rockies (2) (Final),S,9,Colorado Rockies,706968,Arizona Diamondbacks,2,1,,115,Colorado Rockies,AZ wins Spring,Jordan Sheffield,[]
,Blake Snell,N,,Top,,Salt River Fields at Talking Stick,2022-03-31T20:10:00Z,135,2022-03-31,4249,9,Final,San Diego Padres,Luke Weaver,Luke Weaver,2022-03-31 - San Diego Padres (2) @ Arizona Diamondbacks (8) (Final),S,2,Arizona Diamondbacks,707047,Arizona Diamondbacks,8,1,Humberto Castellanos,109,San Diego Padres,AZ wins Spring,Blake Snell,[]
,Kyle Hendricks,N,,Top,,Salt River Fields at Talking Stick,2022-04-01T20:10:00Z,112,2022-04-01,4249,9,Final,Chicago Cubs,Madison Bumgarner,Madison Bumgarner,2022-04-01 - Chicago Cubs (0) @ Arizona Diamondbacks (6) (Final),S,0,Arizona Diamondbacks,707046,Arizona Diamondbacks,6,1,,109,Chicago Cubs,AZ wins Spring,Kyle Hendricks,[]
,Tyler Gilbert,N,,Top,,Goodyear Ballpark,2022-04-02T01:05:00Z,109,2022-04-01,3834,9,Final,Arizona Diamondbacks,Zach Plesac,Zach Plesac,2022-04-01 - Arizona Diamondbacks (1) @ Cleveland Guardians (5) (Final),S,1,Cleveland Guardians,706982,Cleveland Guardians,5,1,,114,Arizona Diamondbacks,CLE wins Spring,Tyler Gilbert,[]
,Lance Lynn,N,,Top,,Salt River Fields at Talking Stick,2022-04-03T01:10:00Z,145,2022-04-02,4249,9,Final,Chicago White Sox,Merrill Kelly,Merrill Kelly,2022-04-02 - Chicago White Sox (4) @ Arizona Diamondbacks (8) (Final),S,4,Arizona Diamondbacks,707042,Arizona Diamondbacks,8,1,,109,Chicago White Sox,AZ wins Spring,Lance Lynn,[]
,Nick Lodolo,N,,Bottom,,Salt River Fields at Talking Stick,2022-04-03T20:10:00Z,113,2022-04-03,4249,9,Final,Cincinnati Reds,Corbin Martin,Nick Lodolo,2022-04-03 - Cincinnati Reds (15) @ Arizona Diamondbacks (4) (Final),S,15,Arizona Diamondbacks,707041,Cincinnati Reds,4,1,,109,Arizona Diamondbacks,CIN wins Spring,Corbin Martin,[]
,Caleb Smith,N,,Top,,Peoria Stadium,2022-04-04T20:10:00Z,109,2022-04-04,2530,9,Final,Arizona Diamondbacks,Marco Gonzales,Diego Castillo,2022-04-04 - Arizona Diamondbacks (3) @ Seattle Mariners (6) (Final),S,3,Seattle Mariners,706827,Seattle Mariners,6,1,Matt Festa,136,Arizona Diamondbacks,SEA wins Spring,Riley Smith,[]
,Konnor Pilkington,N,,Top,,Chase Field,2022-04-05T01:40:00Z,114,2022-04-04,15,9,Final,Cleveland Guardians,Zach Davies,Zach Davies,2022-04-04 - Cleveland Guardians (1) @ Arizona Diamondbacks (3) (Final),S,1,Arizona Diamondbacks,707043,Arizona Diamondbacks,3,1,Sean Poppen,109,Cleveland Guardians,AZ leads 1-0,Konnor Pilkington,[]
,Aaron Civale,N,,Top,,Chase Field,2022-04-05T19:40:00Z,114,2022-04-05,15,9,Final,Cleveland Guardians,Zac Gallen,Cam Booser,2022-04-05 - Cleveland Guardians (1) @ Arizona Diamondbacks (3) (Final),S,1,Arizona Diamondbacks,707044,Arizona Diamondbacks,3,1,Jesus Liranzo,109,Cleveland Guardians,AZ wins 2-0,Juan Zapata,[]
,Yu Darvish,N,,Bottom,,Chase Field,2022-04-08T01:40:00Z,135,2022-04-07,15,9,Final,San Diego Padres,Madison Bumgarner,Joe Mantiply,2022-04-07 - San Diego Padres (2) @ Arizona Diamondbacks (4) (Final),R,2,Arizona Diamondbacks,663418,Arizona Diamondbacks,4,1,,109,San Diego Padres,AZ leads 1-0,Robert Suarez,[]
,Sean Manaea,N,,Bottom,,Chase Field,2022-04-09T01:40:00Z,135,2022-04-08,15,9,Final,San Diego Padres,Merrill Kelly,Sean Manaea,2022-04-08 - San Diego Padres (3) @ Arizona Diamondbacks (0) (Final),R,3,Arizona Diamondbacks,663417,San Diego Padres,0,1,Taylor Rogers,109,Arizona Diamondbacks,Series tied 1-1,Oliver Perez,[]
,Joe Musgrove,N,,Bottom,,Chase Field,2022-04-10T00:10:00Z,135,2022-04-09,15,9,Final,San Diego Padres,Zach Davies,Steven Wilson,2022-04-09 - San Diego Padres (5) @ Arizona Diamondbacks (2) (Final),R,5,Arizona Diamondbacks,663404,San Diego Padres,2,1,Taylor Rogers,109,Arizona Diamondbacks,SD leads 2-1,Ian Kennedy,[]
,Blake Snell,N,,Bottom,,Chase Field,2022-04-10T20:10:00Z,135,2022-04-10,15,9,Final,San Diego Padres,Caleb Smith,Austin Adams,2022-04-10 - San Diego Padres (10) @ Arizona Diamondbacks (5) (Final),R,10,Arizona Diamondbacks,663395,San Diego Padres,5,1,,109,Arizona Diamondbacks,SD wins 3-1,Caleb Smith,[]
,Luis Garcia,N,,Bottom,,Chase Field,2022-04-13T01:40:00Z,117,2022-04-12,15,9,Final,Houston Astros,Madison Bumgarner,Hector Neris,2022-04-12 - Houston Astros (2) @ Arizona Diamondbacks (1) (Final),R,2,Arizona Diamondbacks,663411,Houston Astros,1,1,Ryan Pressly,109,Arizona Diamondbacks,HOU leads 1-0,Mark Melancon,[]
,Framber Valdez,N,,Bottom,,Chase Field,2022-04-13T19:40:00Z,117,2022-04-13,15,10,Final,Houston Astros,Merrill Kelly,Oliver Perez,2022-04-13 - Houston Astros (2) @ Arizona Diamondbacks (3) (Final),R,2,Arizona Diamondbacks,663341,Arizona Diamondbacks,3,1,,109,Houston Astros,Series tied 1-1,Ryan Pressly,['MLBN (out-of-market only)']
,Zach Davies,N,,Top,,Citi Field,2022-04-15T17:10:00Z,109,2022-04-15,3289,9,Final,Arizona Diamondbacks,Chris Bassitt,Chris Bassitt,2022-04-15 - Arizona Diamondbacks (3) @ New York Mets (10) (Final),R,3,New York Mets,662485,New York Mets,10,1,,121,Arizona Diamondbacks,NYM leads 1-0,Zach Davies,['MLBN (out-of-market only)']
,Zac Gallen,N,,Bottom,,Citi Field,2022-04-16T17:10:00Z,109,2022-04-16,3289,9,Final,Arizona Diamondbacks,Carlos Carrasco,Sean Poppen,2022-04-16 - Arizona Diamondbacks (3) @ New York Mets (2) (Final),R,3,New York Mets,662626,Arizona Diamondbacks,2,1,Mark Melancon,121,New York Mets,Series tied 1-1,Joely Rodriguez,['MLBN (out-of-market only)']
,Humberto Castellanos,N,,Top,,Citi Field,2022-04-17T17:40:00Z,109,2022-04-17,3289,9,Final,Arizona Diamondbacks,David Peterson,Chasen Shreve,2022-04-17 - Arizona Diamondbacks (0) @ New York Mets (5) (Final),R,0,New York Mets,662625,New York Mets,5,1,,121,Arizona Diamondbacks,NYM wins 2-1,Noe Ramirez,[]
,Madison Bumgarner,N,,,,Nationals Park,2022-04-18T23:05:00Z,109,2022-04-18,3309,,Postponed,Arizona Diamondbacks,Josiah Gray,,2022-04-18 - Arizona Diamondbacks @ Washington Nationals (Postponed),R,0,Washington Nationals,662587,,0,1,,120,,WSH leads 1-0,,[]
,Madison Bumgarner,S,,Top,,Nationals Park,2022-04-19T17:05:00Z,109,2022-04-19,3309,9,Final,Arizona Diamondbacks,Josiah Gray,Josiah Gray,2022-04-19 - Arizona Diamondbacks (1) @ Washington Nationals (6) (Final),R,1,Washington Nationals,662587,Washington Nationals,6,1,,120,Arizona Diamondbacks,WSH leads 1-0,Madison Bumgarner,[]
,Tyler Gilbert,S,,Top,,Nationals Park,2022-04-19T23:05:00Z,109,2022-04-19,3309,9,Final,Arizona Diamondbacks,Joan Adon,Joan Adon,2022-04-19 - Arizona Diamondbacks (0) @ Washington Nationals (1) (Final),R,0,Washington Nationals,662583,Washington Nationals,1,2,Tanner Rainey,120,Arizona Diamondbacks,WSH leads 2-0,Tyler Gilbert,[]
,Merrill Kelly,N,,Bottom,,Nationals Park,2022-04-20T23:05:00Z,109,2022-04-20,3309,9,Final,Arizona Diamondbacks,Erick Fedde,Merrill Kelly,2022-04-20 - Arizona Diamondbacks (11) @ Washington Nationals (2) (Final),R,11,Washington Nationals,662560,Arizona Diamondbacks,2,1,,120,Washington Nationals,WSH leads 2-1,Erick Fedde,[]
,Zach Davies,N,,Bottom,,Nationals Park,2022-04-21T20:05:00Z,109,2022-04-21,3309,9,Final,Arizona Diamondbacks,Josh Rogers,Zach Davies,2022-04-21 - Arizona Diamondbacks (4) @ Washington Nationals (3) (Final),R,4,Washington Nationals,662558,Arizona Diamondbacks,3,1,Mark Melancon,120,Washington Nationals,Series tied 2-2,Josh Rogers,[]
,David Peterson,N,,Bottom,,Chase Field,2022-04-23T01:40:00Z,121,2022-04-22,15,10,Final,New York Mets,Zac Gallen,Edwin Diaz,2022-04-22 - New York Mets (6) @ Arizona Diamondbacks (5) (Final),R,6,Arizona Diamondbacks,663394,New York Mets,5,1,Seth Lugo,109,Arizona Diamondbacks,NYM leads 1-0,Mark Melancon,[]
,Trevor Williams,N,,Top,,Chase Field,2022-04-24T00:10:00Z,121,2022-04-23,15,9,Final,New York Mets,Humberto Castellanos,Humberto Castellanos,2022-04-23 - New York Mets (2) @ Arizona Diamondbacks (5) (Final),R,2,Arizona Diamondbacks,663384,Arizona Diamondbacks,5,1,Joe Mantiply,109,New York Mets,Series tied 1-1,Trevor Williams,['MLBN (out-of-market only)']
,Tylor Megill,N,,Bottom,,Chase Field,2022-04-24T20:10:00Z,121,2022-04-24,15,9,Final,New York Mets,Madison Bumgarner,Tylor Megill,2022-04-24 - New York Mets (6) @ Arizona Diamondbacks (2) (Final),R,6,Arizona Diamondbacks,663361,New York Mets,2,1,,109,Arizona Diamondbacks,NYM wins 2-1,J.B. Wendelken,[]
,Walker Buehler,N,,Bottom,,Chase Field,2022-04-26T01:40:00Z,119,2022-04-25,15,9,Final,Los Angeles Dodgers,Merrill Kelly,Walker Buehler,2022-04-25 - Los Angeles Dodgers (4) @ Arizona Diamondbacks (0) (Final),R,4,Arizona Diamondbacks,663382,Los Angeles Dodgers,0,1,,109,Arizona Diamondbacks,LAD leads 1-0,Merrill Kelly,[]
,Tony Gonsolin,N,,Top,,Chase Field,2022-04-27T01:40:00Z,119,2022-04-26,15,9,Final,Los Angeles Dodgers,Zach Davies,Ian Kennedy,2022-04-26 - Los Angeles Dodgers (3) @ Arizona Diamondbacks (5) (Final),R,3,Arizona Diamondbacks,663383,Arizona Diamondbacks,5,1,Mark Melancon,109,Los Angeles Dodgers,Series tied 1-1,Brusdar Graterol,['MLBN (out-of-market only)']
,Julio Urias,N,,Top,,Chase Field,2022-04-27T19:40:00Z,119,2022-04-27,15,9,Final,Los Angeles Dodgers,Zac Gallen,Ian Kennedy,2022-04-27 - Los Angeles Dodgers (1) @ Arizona Diamondbacks (3) (Final),R,1,Arizona Diamondbacks,663393,Arizona Diamondbacks,3,1,Mark Melancon,109,Los Angeles Dodgers,AZ wins 2-1,Daniel Hudson,[]
,Humberto Castellanos,N,,Top,,Busch Stadium,2022-04-28T23:45:00Z,109,2022-04-28,2889,9,Final,Arizona Diamondbacks,Dakota Hudson,Dakota Hudson,2022-04-28 - Arizona Diamondbacks (3) @ St. Louis Cardinals (8) (Final),R,3,St. Louis Cardinals,662047,St. Louis Cardinals,8,1,,138,Arizona Diamondbacks,STL leads 1-0,Humberto Castellanos,['MLBN (out-of-market only)']
,Madison Bumgarner,N,,Bottom,,Busch Stadium,2022-04-30T00:15:00Z,109,2022-04-29,2889,9,Final,Arizona Diamondbacks,Adam Wainwright,Madison Bumgarner,2022-04-29 - Arizona Diamondbacks (6) @ St. Louis Cardinals (2) (Final),R,6,St. Louis Cardinals,662037,Arizona Diamondbacks,2,1,,138,St. Louis Cardinals,Series tied 1-1,Adam Wainwright,[]
,Merrill Kelly,N,,Bottom,,Busch Stadium,2022-04-30T18:15:00Z,109,2022-04-30,2889,9,Final,Arizona Diamondbacks,Miles Mikolas,Merrill Kelly,2022-04-30 - Arizona Diamondbacks (2) @ St. Louis Cardinals (0) (Final),R,2,St. Louis Cardinals,662036,Arizona Diamondbacks,0,1,Ian Kennedy,138,St. Louis Cardinals,AZ leads 2-1,Miles Mikolas,[]
,Zach Davies,N,,Top,,Busch Stadium,2022-05-01T18:15:00Z,109,2022-05-01,2889,9,Final,Arizona Diamondbacks,Jordan Hicks,Kodi Whitley,2022-05-01 - Arizona Diamondbacks (5) @ St. Louis Cardinals (7) (Final),R,5,St. Louis Cardinals,661988,St. Louis Cardinals,7,1,Ryan Helsley,138,Arizona Diamondbacks,Series tied 2-2,Keynan Middleton,[]
,Zac Gallen,N,,Bottom,,loanDepot park,2022-05-02T22:40:00Z,109,2022-05-02,4169,9,Final,Arizona Diamondbacks,Pablo Lopez,Zac Gallen,2022-05-02 - Arizona Diamondbacks (5) @ Miami Marlins (4) (Final),R,5,Miami Marlins,661362,Arizona Diamondbacks,4,1,Ian Kennedy,146,Miami Marlins,AZ leads 1-0,Pablo Lopez,[]
,Humberto Castellanos,N,,Bottom,,loanDepot park,2022-05-03T22:40:00Z,109,2022-05-03,4169,9,Final,Arizona Diamondbacks,Trevor Rogers,Humberto Castellanos,2022-05-03 - Arizona Diamondbacks (5) @ Miami Marlins (4) (Final),R,5,Miami Marlins,661364,Arizona Diamondbacks,4,1,Joe Mantiply,146,Miami Marlins,AZ wins 2-0,Trevor Rogers,[]
,Madison Bumgarner,N,,Bottom,,loanDepot park,2022-05-04T16:40:00Z,109,2022-05-04,4169,9,Final,Arizona Diamondbacks,Elieser Hernandez,Keynan Middleton,2022-05-04 - Arizona Diamondbacks (8) @ Miami Marlins (7) (Final),R,8,Miami Marlins,661363,Arizona Diamondbacks,7,1,Ian Kennedy,146,Miami Marlins,AZ wins 3-0,Anthony Bender,[]
,Chad Kuhl,N,,Top,,Chase Field,2022-05-07T01:40:00Z,115,2022-05-06,15,9,Final,Colorado Rockies,Merrill Kelly,Merrill Kelly,2022-05-06 - Colorado Rockies (1) @ Arizona Diamondbacks (4) (Final),R,1,Arizona Diamondbacks,663360,Arizona Diamondbacks,4,1,Mark Melancon,109,Colorado Rockies,AZ leads 1-0,Carlos Estevez,['MLB.tv Free Game']
,Kyle Freeland,N,,Bottom,,Chase Field,2022-05-08T00:10:00Z,115,2022-05-07,15,9,Final,Colorado Rockies,Zach Davies,Alex Colome,2022-05-07 - Colorado Rockies (4) @ Arizona Diamondbacks (1) (Final),R,4,Arizona Diamondbacks,663359,Colorado Rockies,1,1,Daniel Bard,109,Arizona Diamondbacks,Series tied 1-1,Mark Melancon,['MLB.tv Free Game']
,German Marquez,N,,Top,,Chase Field,2022-05-08T20:10:00Z,115,2022-05-08,15,9,Final,Colorado Rockies,Zac Gallen,Zac Gallen,2022-05-08 - Colorado Rockies (0) @ Arizona Diamondbacks (4) (Final),R,0,Arizona Diamondbacks,663368,Arizona Diamondbacks,4,1,,109,Colorado Rockies,AZ wins 2-1,German Marquez,['MLB.tv Free Game']
,Elieser Hernandez,N,,Top,,Chase Field,2022-05-10T01:40:00Z,146,2022-05-09,15,9,Final,Miami Marlins,Humberto Castellanos,Kyle Nelson,2022-05-09 - Miami Marlins (3) @ Arizona Diamondbacks (4) (Final),R,3,Arizona Diamondbacks,663366,Arizona Diamondbacks,4,1,Mark Melancon,109,Miami Marlins,AZ leads 1-0,Elieser Hernandez,[]
,Jesus Luzardo,N,,Top,,Chase Field,2022-05-11T01:40:00Z,146,2022-05-10,15,9,Final,Miami Marlins,Madison Bumgarner,Madison Bumgarner,2022-05-10 - Miami Marlins (3) @ Arizona Diamondbacks (9) (Final),R,3,Arizona Diamondbacks,663350,Arizona Diamondbacks,9,1,,109,Miami Marlins,AZ wins 2-0,Jesus Luzardo,[]
,Sandy Alcantara,N,,Bottom,,Chase Field,2022-05-11T19:40:00Z,146,2022-05-11,15,9,Final,Miami Marlins,Merrill Kelly,Anthony Bass,2022-05-11 - Miami Marlins (11) @ Arizona Diamondbacks (3) (Final),R,11,Arizona Diamondbacks,663358,Miami Marlins,3,1,,109,Arizona Diamondbacks,AZ wins 2-1,Mark Melancon,[]
,Drew Smyly,N,,Top,,Chase Field,2022-05-14T01:40:00Z,112,2022-05-13,15,9,Final,Chicago Cubs,Zach Davies,Zach Davies,2022-05-13 - Chicago Cubs (3) @ Arizona Diamondbacks (4) (Final),R,3,Arizona Diamondbacks,663349,Arizona Diamondbacks,4,1,Mark Melancon,109,Chicago Cubs,AZ leads 1-0,Drew Smyly,['Apple TV+']
,Kyle Hendricks,N,,Bottom,,Chase Field,2022-05-15T00:10:00Z,112,2022-05-14,15,9,Final,Chicago Cubs,Zac Gallen,Mychal Givens,2022-05-14 - Chicago Cubs (4) @ Arizona Diamondbacks (2) (Final),R,4,Arizona Diamondbacks,663348,Chicago Cubs,2,1,Rowan Wick,109,Arizona Diamondbacks,Series tied 1-1,Mark Melancon,['MLB.tv Free Game']
,Justin Steele,N,,Bottom,,Chase Field,2022-05-15T20:10:00Z,112,2022-05-15,15,9,Final,Chicago Cubs,Humberto Castellanos,Scott Effross,2022-05-15 - Chicago Cubs (3) @ Arizona Diamondbacks (2) (Final),R,3,Arizona Diamondbacks,663367,Chicago Cubs,2,1,Rowan Wick,109,Arizona Diamondbacks,CHC wins 2-1,Ian Kennedy,[]
,Madison Bumgarner,N,,Top,,Dodger Stadium,2022-05-17T02:10:00Z,109,2022-05-16,22,9,Final,Arizona Diamondbacks,Tony Gonsolin,Tony Gonsolin,2022-05-16 - Arizona Diamondbacks (4) @ Los Angeles Dodgers (5) (Final),R,4,Los Angeles Dodgers,662695,Los Angeles Dodgers,5,1,Craig Kimbrel,119,Arizona Diamondbacks,LAD leads 1-0,Madison Bumgarner,[]
,Tyler Gilbert,S,,Top,,Dodger Stadium,2022-05-17T19:10:00Z,109,2022-05-17,22,9,Final,Arizona Diamondbacks,Ryan Pepiot,Mitch White,2022-05-17 - Arizona Diamondbacks (6) @ Los Angeles Dodgers (7) (Final),R,6,Los Angeles Dodgers,662628,Los Angeles Dodgers,7,1,Craig Kimbrel,119,Arizona Diamondbacks,LAD leads 2-0,Tyler Gilbert,['MLBN']
